cell_tower_id1,cell_tower_id2,source1_name,source2_name,district1,district2,latitude1,latitude2,longitude1,longitude2,nearest_precip_station,distance,nearest_precip_lat,nearest_precip_long,id_1,id_2,PathLength,frequency1,frequency2,frequency_band
GM0548,GM0632,Mabole_Zone_DBN-GM0548-23G/1515-23-ODU-1(RTNRF-1),Nayakkanda_Mobitel-GM0632-23G/1515-23-ODU-1(RTNRF-1),Gampaha,Gampaha,7.004444,6.998056,79.896389,79.880833,curw_orugodawatta,6.450401902069756,6.943741,79.87887,725,1950,1.8583739220159146," 23,142.00 "," 21,910.00 ",23
GM0040,GM0655,Peliyagoda DBN-GM0040-26G/1309-23-ODU-1(RTNRF-1),Peliyagoda junction relocation-GM0655-26G/1309-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.96324,6.955,79.8831,79.883889,curw_orugodawatta,1.7758898712976943,6.943741,79.87887,20,1245,0.9154278655435114," 25,042.50 "," 26,050.50 ",26
CM0396,CM1279,SLTA-CM0396-26G/1227-23-ODU-1(RTNRF-1),Maharaja HO-CM1279-26G/1227-23-ODU-1(RTNRF-1),Colombo,Colombo,6.910556,6.919167,79.859167,79.856944,curw_orugodawatta,3.935920989657288,6.943741,79.87887,1209,2434,0.9834732051321149," 25,098.50 "," 26,106.50 ",26
CM0260,CM0740,Kala_Traders-CM0260-23G/867-24-ODU-1(RTNRF-1),Unilever_Ind-CM0740-23G/867-24-ODU-1(RTNRF-1),Colombo,Colombo,6.928056,6.94161,79.876111,79.8689,curw_orugodawatta,1.2104479810471638,6.943741,79.87887,836,2061,1.6976059492452735," 23,030.00 "," 21,798.00 ",23
GM0014,GM0027,Gonawala-GM0014-18G/1337-25-ODU-1(RTNRF-1),Kelaniya-GM0027-18G/1337-25-ODU-1(RTNRF-1),Gampaha,Gampaha,6.95484,6.95735,79.9481,79.9163,curw_orugodawatta,6.049629167867524,6.943741,79.87887,809,2034,3.52502184323196," 17,810.00 "," 18,820.00 ",18
CM0764,CM0260,Hedges_Court_Ind-CM0764-23G/866-24-ODU-1(RTNRF-1),Kala_Traders-CM0260-23G/866-24-ODU-1(RTNRF-1),Colombo,Colombo,6.92161,6.928056,79.8649,79.876111,curw_orugodawatta,2.28624569069418,6.943741,79.87887,972,2197,1.4294045385532494," 21,854.00 "," 23,086.00 ",23
GM0016,CM0590,Hekiththa-GM0016-23G/760-24-ODU-1(RTNRF-1),Jubilee_Mw-CM0590-23G/760-24-ODU-1(RTNRF-1),Gampaha,Colombo,6.986944,6.96912,79.88,79.8788,curw_orugodawatta,3.792714008210768,6.943741,79.87887,988,2213,1.9756230110851851," 23,114.00 "," 21,882.00 ",23
CM0050,CM0348,Kolonnawa-CM0050-26G/1177-24-ODU-1(RTNRF-1),Salamulla-CM0348-26G/1177-24-ODU-1(RTNRF-1),Colombo,Colombo,6.93378,6.929167,79.8875,79.894444,curw_orugodawatta,1.9050359344429535,6.943741,79.87887,815,2040,0.9214904048230863," 26,078.50 "," 25,070.50 ",26
CM0174,CM0536,Thursten-CM0174-23G/1051-23-ODU-1(RTNRF-1),Bullers_Rd_South-CM0536-23G/1051-23-ODU-1(RTNRF-1),Colombo,Colombo,6.903611,6.898611,79.8575,79.869167,curw_orugodawatta,5.017397354691992,6.943741,79.87887,1069,2294,1.4029797591658943," 23,338.00 "," 22,106.00 ",23
CM1062,CM0591,Old_Moor_St_South-CM1062-26G/784-24-ODU-1(RTNRF-1),Pettah_South-CM0591-26G/784-24-ODU-1(RTNRF-1),Colombo,Colombo,6.938611,6.93928,79.858889,79.8606,curw_orugodawatta,2.1790605935646803,6.943741,79.87887,993,2218,0.2030411499010346," 25,042.50 "," 26,050.50 ",26
GM0015,GM0145,Handala-GM0015-23G/763-24-ODU-1(RTNRF-1),Kerawalapitiya-GM0145-23G/763-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.9977,7.00917,79.886,79.8851,curw_orugodawatta,6.642737424955294,6.943741,79.87887,877,2102,1.272368434497513," 23,058.00 "," 21,826.00 ",23
GM0015,GM0145,Handala-GM0015-23G/763-23-ODU-1(RTNRF-1),Kerawalapitiya-GM0145-23G/763-23-ODU-1(RTNRF-1),Gampaha,Gampaha,6.9977,7.00917,79.886,79.8851,curw_orugodawatta,6.642737424955294,6.943741,79.87887,876,2101,1.272368434497513," 23,058.00 "," 21,826.00 ",23
CM0460,CM0726,Joseph_Lane-CM0460-26G/674-23-ODU-1(RTNRF-1),Premier_Pacific_Ind-CM0726-26G/674-23-ODU-1(RTNRF-1),Colombo,Colombo,6.893611,6.893889,79.856111,79.857222,curw_orugodawatta,6.0486136274023785,6.943741,79.87887,927,2152,0.1265781601740849," 26,148.50 "," 25,140.50 ",26
GM0009,GM0251,Enderamulla-GM0009-26G/494-24-ODU-1(RTNRF-1),Enderamulla_West-GM0251-26G/494-24-ODU-1(RTNRF-1),Gampaha,Gampaha,6.99205,6.99383,79.9128,79.9062,curw_orugodawatta,6.407814230299206,6.943741,79.87887,378,1603,0.7553800261251332," 26,050.50 "," 25,042.50 ",26
